,geotype,spectrum_limitations,id,aantal,NUMPOINTS,Shape_Area,pop_density_km2,Shape_Area_km2,Scenario,Strategy,Macro.cell.site.density,Small.cell.site.density,Existing.capacity,Spectrum.capacity,Small.cells.capacity,Capacity.surplus,Cost.per.km2,RAN.macro,RAN.small.cells,Backhaul.macro,Civil.works.macro,Civil.works.small,Cost
0,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,9090.726948,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,1301402.025
1,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,16947.26038,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,1301402.025
2,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-9888.500016,26621.424,20317.104,0.0,1146.24,5158.08,0.0,423280.6416
3,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,8728.687764,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,878121.3836
4,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,16585.2212,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,878121.3836
5,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-32335.73842,26621.424,20317.104,0.0,1146.24,5158.08,0.0,423280.6416
6,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-2031.966576,26621.424,20317.104,0.0,1146.24,5158.08,0.0,423280.6416
7,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,1919374.419
8,Rural 1,all_spectrum,5691,10710,6,15926953,672.445,15.9,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,1512844.425
9,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,6860.925998,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,982190.2077
10,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,12790.3852,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,982190.2077
11,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-7463.01888,26621.424,20317.104,0.0,1146.24,5158.08,0.0,319457.088
12,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,6587.688878,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,662733.1197
13,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,12517.14808,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,662733.1197
14,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-24404.33088,26621.424,20317.104,0.0,1146.24,5158.08,0.0,319457.088
15,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-1533.55968,26621.424,20317.104,0.0,1146.24,5158.08,0.0,319457.088
16,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,1448584.467
17,Rural 1,all_spectrum,4854,8065,4,11964929,674.053,12.0,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,1141769.377
18,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,2058.2778,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,294657.0623
19,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,3837.115559,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,294657.0623
20,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-2238.905664,26621.424,20317.104,0.0,1146.24,5158.08,0.0,95837.1264
21,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,1976.306664,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,198819.9359
22,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,3755.144423,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,198819.9359
23,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-7321.299264,26621.424,20317.104,0.0,1146.24,5158.08,0.0,95837.1264
24,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-460.067904,26621.424,20317.104,0.0,1146.24,5158.08,0.0,95837.1264
25,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,434575.3401
26,Rural 1,all_spectrum,4531,2445,0,3626444,674.214,3.6,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,342530.8132
27,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,2744.370399,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,392876.0831
28,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,5116.154078,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,392876.0831
29,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-2985.207552,26621.424,20317.104,0.0,1146.24,5158.08,0.0,127782.8352
30,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,2635.075551,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,265093.2479
31,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,5006.85923,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,265093.2479
32,Rural 1,all_spectrum,3601,6820,3,4822065,1414.332,4.8,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-9761.732352,26621.424,20317.104,0.0,1146.24,5158.08,0.0,127782.8352
